feature,value,viability_score
latency,0.5,0.5231815671992569
latency,2.1224489795918364,0.49707078267807603
latency,3.7448979591836733,0.4651502117990561
latency,5.36734693877551,0.4685184077748063
latency,6.989795918367347,0.45444279346072586
latency,8.612244897959183,0.45848104524161365
latency,10.23469387755102,0.46642225807085025
latency,11.857142857142856,0.4670692883629299
latency,13.479591836734693,0.47243697818318625
latency,15.10204081632653,0.4748623320459358
latency,16.724489795918366,0.47755215881329655
latency,18.346938775510203,0.4753800031028758
latency,19.96938775510204,0.474523298121889
latency,21.591836734693878,0.47605339313234163
latency,23.21428571428571,0.476464000373377
latency,24.83673469387755,0.47586359040575243
latency,26.459183673469386,0.4674050502424752
latency,28.081632653061224,0.4676876765404744
latency,29.70408163265306,0.4651925968247582
latency,31.326530612244895,0.46500554980694353
latency,32.94897959183673,0.46196738372902985
latency,34.57142857142857,0.46196738372903007
latency,36.19387755102041,0.45809177643699306
latency,37.816326530612244,0.45378092894665956
latency,39.43877551020408,0.4513934099233502
latency,41.06122448979592,0.45139340992335003
latency,42.683673469387756,0.45139340992335003
latency,44.306122448979586,0.4488386691362558
latency,45.92857142857142,0.4488386691362558
latency,47.55102040816326,0.4493870997536967
latency,49.1734693877551,0.4493870997536968
latency,50.795918367346935,0.4639603360489528
latency,52.41836734693877,0.4639603360489527
latency,54.04081632653061,0.4639603360489527
latency,55.66326530612245,0.4639603360489527
latency,57.285714285714285,0.46396033604895287
latency,58.90816326530612,0.4639603360489527
latency,60.53061224489796,0.4639603360489528
latency,62.15306122448979,0.4639603360489527
latency,63.77551020408163,0.4639603360489528
latency,65.39795918367346,0.4639603360489528
latency,67.0204081632653,0.46396033604895287
latency,68.64285714285714,0.4639603360489527
latency,70.26530612244898,0.4639603360489527
latency,71.88775510204081,0.4639603360489527
latency,73.51020408163265,0.4639603360489528
latency,75.13265306122449,0.528603302827785
latency,76.75510204081633,0.5286033028277849
latency,78.37755102040816,0.5286033028277849
latency,80.0,0.528603302827785
throughput,1.0,0.5327681667109753
throughput,21.387755102040817,0.4326635488847241
throughput,41.775510204081634,0.4398849546504472
throughput,62.163265306122454,0.476594742404857
throughput,82.55102040816327,0.48815743364214703
throughput,102.93877551020408,0.4517620625497137
throughput,123.32653061224491,0.45553413767592504
throughput,143.71428571428572,0.4612218090539323
throughput,164.10204081632654,0.46314194799475517
throughput,184.48979591836735,0.47783009620817246
throughput,204.87755102040816,0.4778300962081724
throughput,225.26530612244898,0.4773314536400614
throughput,245.65306122448982,0.48320424440910187
throughput,266.0408163265306,0.4832042444091018
throughput,286.42857142857144,0.48320424440910187
throughput,306.81632653061223,0.5477327651252232
throughput,327.2040816326531,0.5792800471749283
throughput,347.5918367346939,0.5854846139152938
throughput,367.9795918367347,0.5862670880020261
throughput,388.36734693877554,0.607391463448531
throughput,408.7551020408163,0.6284513947328434
throughput,429.14285714285717,0.6426212513673312
throughput,449.53061224489795,0.6900628115533206
throughput,469.9183673469388,0.6908386296679015
throughput,490.30612244897964,0.7017668224874651
throughput,510.6938775510204,0.7237763158253155
throughput,531.0816326530612,0.7273694328376342
throughput,551.469387755102,0.7279955251121811
throughput,571.8571428571429,0.7337985313375099
throughput,592.2448979591837,0.7374226458249897
throughput,612.6326530612245,0.7392481821260959
throughput,633.0204081632653,0.7397107921047562
