test,x_value,viability_score
latency,0.5,0.5203986116977654
latency,2.1224489795918364,0.49259238305610414
latency,3.7448979591836733,0.46067181217708425
latency,5.36734693877551,0.45033227512328955
latency,6.989795918367347,0.4077932048191009
latency,8.612244897959183,0.40853669349720917
latency,10.23469387755102,0.41675648962943923
latency,11.857142857142856,0.42055670382417587
latency,13.479591836734693,0.42217180787419545
latency,15.10204081632653,0.4225184709290081
latency,16.724489795918366,0.4229421702722154
latency,18.346938775510203,0.41925906154572024
latency,19.96938775510204,0.4176510113153804
latency,21.591836734693878,0.419181106325833
latency,23.21428571428571,0.42228842297549835
latency,24.83673469387755,0.4216880130078737
latency,26.459183673469386,0.4132294728445965
latency,28.081632653061224,0.4108595234659714
latency,29.70408163265306,0.40836444375025527
latency,31.326530612244895,0.4076720755249514
latency,32.94897959183673,0.4034171685231295
latency,34.57142857142857,0.4032201667148918
latency,36.19387755102041,0.39934455942285496
latency,37.816326530612244,0.3950337119325214
latency,39.43877551020408,0.392646192909212
latency,41.06122448979592,0.3930591383653179
latency,42.683673469387756,0.391321051249782
latency,44.306122448979586,0.38805131179714164
latency,45.92857142857142,0.38805131179714164
latency,47.55102040816326,0.3868791895097827
latency,49.1734693877551,0.38687918950978273
latency,50.795918367346935,0.40145242580503876
latency,52.41836734693877,0.40145242580503876
latency,54.04081632653061,0.40145242580503876
latency,55.66326530612245,0.4014524258050388
latency,57.285714285714285,0.40145242580503876
latency,58.90816326530612,0.40145242580503876
latency,60.53061224489796,0.4014524258050388
latency,62.15306122448979,0.40145242580503876
latency,63.77551020408163,0.40145242580503876
latency,65.39795918367346,0.4014524258050387
latency,67.0204081632653,0.40145242580503876
latency,68.64285714285714,0.40145242580503876
latency,70.26530612244898,0.40145242580503876
latency,71.88775510204081,0.4014524258050387
latency,73.51020408163265,0.4014524258050387
latency,75.13265306122449,0.4660953925838708
latency,76.75510204081633,0.4660953925838708
latency,78.37755102040816,0.4660953925838708
latency,80.0,0.46609539258387095
reliability,0.9999,0.4431884138737094
reliability,0.9992897959183673,0.4525608449042581
reliability,0.9986795918367347,0.45256084490425813
reliability,0.998069387755102,0.45256084490425813
reliability,0.9974591836734694,0.45256084490425813
