slice_type,latency,throughput,reliability,jitter,packet_loss,viability_score,timestamp,latency_throughput_ratio,reliability_packet_loss_ratio,jitter_latency_ratio,slice_type_encoded
URLLC,6.122852259822463,3.3095575660285297,0.99999,0.6422253871774737,1e-05,0.3046440305288302,2025-09-09 03:07:24.737272,1.8500510378246262,99989.00109989,0.10488988710405506,0
URLLC,2.4835485348023245,88.178631317443,0.99999,0.501498123243628,5.404473458990988e-06,0.544017866772115,2025-11-13 03:07:24.737272,0.028164970010665983,184995.82091864775,0.20192797293392586,0
URLLC,7.135921642678015,43.8960671160494,0.99999,0.9350117183646334,8.387819803761495e-06,0.13274632475531933,2025-05-15 03:07:24.738255,0.16256402791731955,119205.08765149665,0.13102884731016873,0
URLLC,7.878448240914044,82.20430834828257,0.999999,0.26132605725474983,2.881140141544161e-06,0.6272446921045889,2025-08-07 03:07:24.738255,0.0958398446915319,346964.0443869019,0.03316973293394364,0
URLLC,2.029062697676487,28.650612691125865,0.999999,0.24203056334523929,4.529469004505079e-06,0.8645019335993391,2025-03-11 03:07:24.738255,0.07082091572457176,220727.47854705667,0.11928189520239917,0
URLLC,3.869451227337792,30.01936209902048,0.999999,0.24956703058356186,7.598736462565781e-06,0.6795678584588257,2025-06-01 03:07:24.738255,0.12889851175636868,131583.37857183878,0.06449673388402719,0
URLLC,9.927980001050635,22.686394515761,0.99999,0.37585485647959394,8.755765245217173e-06,0.12216310045604864,2024-12-23 03:07:24.738255,0.43761821899619685,114196.27819144531,0.037858136154754814,0
URLLC,9.171126816258015,43.26934200722238,0.99999,0.6002696035431263,1.1518628653914393e-06,0.16569647688375735,2024-11-30 03:07:24.738255,0.21195438106668735,867397.1814162533,0.06545210311855049,0
URLLC,6.557855123814271,68.01992060805166,0.99999,0.2652259082763334,9.158596241441275e-06,0.30847927317684976,2024-12-08 03:07:24.738255,0.09641080096508085,109174.0261951383,0.040443996219006566,0
URLLC,6.508302461723644,83.87402200368564,0.99999,0.2576652921163333,5.842158966324527e-06,0.36812995196110476,2025-06-13 03:07:24.738255,0.07759616420733333,171138.59228598318,0.03959023939674962,0
URLLC,7.271366066578131,46.75400735583878,0.99999,0.15178473967250078,3.822865797652262e-06,0.3769706245818431,2025-08-09 03:07:24.738255,0.15552390740996352,261512.83881718962,0.020874305791844714,0
URLLC,9.03898846300824,66.79906898562263,0.99999,0.6978414238248162,6.317025787530583e-06,0.14730188299956576,2025-05-05 03:07:24.738255,0.13531608246871896,158275.70725868293,0.07720347796406986,0
URLLC,6.431959335890434,10.74914685383984,0.99999,0.4472877056903839,9.497306493509721e-06,0.26993930869002575,2025-01-31 03:07:24.738255,0.5983692310635389,105280.87303597775,0.06954142785901708,0
URLLC,8.734254353507497,37.18009798888353,0.999999,0.5543936077817937,8.779265000181406e-06,0.5065615347097128,2025-03-01 03:07:24.738255,0.23491745829183913,113891.66499864632,0.06347348289504276,0
